"species","genus","biome"
"Adenopodia_gymnantha","Adenopodia","tropical_rainforest"
"Adenopodia_oaxacana","Adenopodia","tropical_rainforest"
"Anadenanthera_colubrina_cebil","Anadenanthera","savanna&sdtf&tropical_rainforest"
"Anadenanthera_colubrina_colubrina","Anadenanthera","savanna&sdtf&tropical_rainforest"
"Anadenanthera_peregrina","Anadenanthera","savanna&sdtf&tropical_rainforest"
"Mimosa_acantholoba","Mimosa","sdtf"
"Mimosa_acutistipula","Mimosa","savanna&sdtf&tropical_rainforest"
"Mimosa_adenophylla","Mimosa","savanna&sdtf"
"Mimosa_adenophylla_armandiana","Mimosa","savanna&sdtf"
"Mimosa_adenophylla_mitis","Mimosa","savanna&sdtf"
"Mimosa_arenosa","Mimosa","sdtf"
"Mimosa_artemisiana","Mimosa","tropical_rainforest"
"Mimosa_bimucronata_bimucronata","Mimosa","savanna&sdtf&tropical_rainforest"
"Mimosa_borboremae","Mimosa","sdtf"
"Mimosa_campicola_campicola","Mimosa","savanna"
"Mimosa_capito","Mimosa","savanna"
"Mimosa_ceratonia","Mimosa","savanna&sdtf"
"Mimosa_ceratonia_pseudoobovata","Mimosa","tropical_rainforest"
"Mimosa_claussenii_claussenii","Mimosa","savanna"
"Mimosa_dryandroides","Mimosa","tropical_rainforest"
"Mimosa_exalbescens","Mimosa","sdtf"
"Mimosa_floridana","Mimosa","?"
"Mimosa_foliolosa_viscidula","Mimosa","savanna"
"Mimosa_guilandinae_extensissima","Mimosa","tropical_rainforest"
"Mimosa_hystricina","Mimosa","temperate"
"Mimosa_invisa","Mimosa","savanna&tropical_rainforest"
"Mimosa_invisa_macrostachya","Mimosa","savanna&tropical_rainforest"
"Mimosa_latidens","Mimosa","temperate"
"Mimosa_obstrigosa","Mimosa","temperate&tropical_rainforest"
"Mimosa_paraibana","Mimosa","savanna&sdtf"
"Mimosa_pigra","Mimosa","savanna&sdtf&tropical_rainforest"
"Mimosa_pringlei_pringlei","Mimosa","?"
"Mimosa_quadrivalvis_angustata","Mimosa","savanna&tropical_rainforest"
"Mimosa_quadrivalvis_diffusa","Mimosa","sdtf"
"Mimosa_quadrivalvis_jaliscensis","Mimosa","temperate"
"Mimosa_quadrivalvis_paucijuga","Mimosa","desert"
"Mimosa_quadrivalvis_platycarpa","Mimosa","temperate"
"Mimosa_quadrivalvis_quadrivalvis","Mimosa","desert&savanna"
"Mimosa_quadrivalvis_urbaniana","Mimosa","?"
"Mimosa_regnellii_supersetosa","Mimosa","savanna"
"Mimosa_rupigena","Mimosa","savanna"
"Mimosa_sensitiva_sensitiva","Mimosa","savanna&sdtf&tropical_rainforest"
"Mimosa_subenervis","Mimosa","savanna"
"Mimosa_subinermis","Mimosa","temperate&tropical_rainforest"
"Mimosa_tandilensis","Mimosa","?"
"Mimosa_tetragona","Mimosa","tropical_rainforest"
"Neptunia_prostrata","Neptunia","savanna&sdtf"
"Piptadenia_affinis","Piptadenia","tropical_rainforest"
"Piptadenia_anolidurus","Piptadenia","tropical_rainforest"
"Piptadenia_fruticosa","Piptadenia","tropical_rainforest"
"Piptadenia_irwinii_irwinii","Piptadenia","savanna&sdtf"
"Piptadenia_irwinii_unijuga","Piptadenia","sdtf"
"Piptadenia_killipii","Piptadenia","tropical_rainforest"
"Piptadenia_micracantha","Piptadenia","tropical_rainforest"
"Piptadenia_minutiflora","Piptadenia","tropical_rainforest"
"Piptadenia_polyptera","Piptadenia","tropical_rainforest"
"Piptadenia_retusa","Piptadenia","sdtf"
"Piptadenia_santosii","Piptadenia","tropical_rainforest"
"Piptadenia_trisperma","Piptadenia","tropical_rainforest"
"Pseudopiptadenia_suaveolens","Pseudopiptadenia","tropical_rainforest"
"Stryphnodendron_confertum","Stryphnodendron","savanna"
"Stryphnodendron_levelii","Stryphnodendron","savanna"
"Stryphnodendron_platyspicum","Stryphnodendron","savanna"
"Stryphnodendron_polyphyllum_villosum","Stryphnodendron","savanna"
"Anadenanthera_colubrina","Anadenanthera","sdtf"
"Gwilymia_coriaceum","Gwilymia","savanna&sdtf"
"Gwilymia_fissuratum","Gwilymia","savanna"
"Gwilymia_moricolor","Gwilymia","tropical_rainforest"
"Gwilymia_occhionianum","Gwilymia","tropical_rainforest"
"Gwilymia_paniculatum","Gwilymia","tropical_rainforest"
"Gwilymia_polystachyum","Gwilymia","tropical_rainforest"
"Gwilymia_racemiferum","Gwilymia","tropical_rainforest"
"Inga_edulis","Inga","savanna&sdtf"
