cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_acantholoba,Goicochea,59,x,Mimosa acantholoba ,Mimosa acantholoba,Mimosa,acantholoba,NA,Species,3,1,3,0,NA,24.3,8.45,0.157,0.209,NA,NA
Mimosa_acutistipula,Santos-Silva et al. 2013,NA,NA,Mimosa acutistipula ,Mimosa acutistipula,Mimosa,acutistipula,NA,Species,3,1,3,4,NA,17.9,12.1,NA,NA,NA,NA
Mimosa_acutistipula_acutistipula,Lima et al. 2008,NA,NA,Mimosa acutistipula var. acutistipula ,Mimosa acutistipula var. acutistipula,Mimosa,acutistipula,acutistipula,Variety,3,NA,3&5,0&4,NA,16.9,12.6,NA,1,NA,NA
Mimosa_adenocarpa,Goicochea,37,x,Mimosa adenocarpa ,Mimosa adenocarpa,Mimosa,adenocarpa,NA,Species,2,0,0&5,0&4,1,14.466,11.067,0.715,0.438,NA,NA
Mimosa_adenophylla,Santos-Silva et al. 2013,NA,NA,Mimosa adenophylla ,Mimosa adenophylla,Mimosa,adenophylla,NA,Species,2,1,NA,5,NA,22,15.5,NA,NA,NA,NA
Mimosa_adenophylla_armandiana,Lima et al. 2008,NA,NA,Mimosa adenophylla var. armandiana ,Mimosa adenophylla var. armandiana,Mimosa,adenophylla,armandiana,Variety,1&2,NA,0&3,0&4,NA,21.5,16.4,NA,1,NA,NA
Mimosa_adenophylla_mitis,Lima et al. 2008,NA,NA,Mimosa adenophylla var. mitis ,Mimosa adenophylla var. mitis,Mimosa,adenophylla,mitis,Variety,1&2,NA,0&3,0&4,NA,22,15.4,NA,1,NA,NA
Mimosa_adenotricha,Goicochea,34,x,Mimosa adenotricha ,Mimosa adenotricha,Mimosa,adenotricha,NA,Species,2,1,0&4&5,0&4,1,16.338,11.936,0.946,0.338,NA,NA
Mimosa_aguapeia,Goicochea,NA,x,Mimosa aguapeia ,Mimosa aguapeia,Mimosa,aguapeia,NA,Species,2,1,3,0,1,24.8,18.5,0.763,0.516,NA,NA
Mimosa_albolanata_brasiliana,Goicochea,NA,x,Mimosa albolanata var. brasiliana ,Mimosa albolanata var. brasiliana,Mimosa,albolanata,brasiliana,Variety,2,1,0&3,0,1,20.4,13.1,0.745,0.495,NA,NA
Mimosa_amnisatri,Santos-Silva et al. 2013,NA,NA,Mimosa amnis-atri ,Mimosa amnis-atri,Mimosa,amnis-atri,NA,Species,2,1,3,NA,NA,12.7,13.1,NA,NA,NA,NA
Mimosa_apodocarpa,Santos-Silva et al. 2013,NA,NA,Mimosa apodocarpa ,Mimosa apodocarpa,Mimosa,apodocarpa,NA,Species,2,1,3,NA,NA,14.2,14.5,NA,NA,NA,NA
