scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Adenopodia gymnantha,Caccavari - 2002,,,Adenopodia gymnantha,Adenopodia_gymnantha,Adenopodia,gymnantha,,Species,16,elliptical,,,verrucate scabrate,,,,,,,28.000,,,,,,,,,LanglassÃ© 638,P,,,Adenopodia_gymnantha-Caccavari-2002-10Âµm / Adenopodia_gymnantha-2-Caccavari-2002-10Âµm
Adenopodia oaxacana,Caccavari - 2002,,,Adenopodia oaxacana,Adenopodia_oaxacana,Adenopodia,oaxacana,,Species,16,elliptical,,,verrucate scabrate,,,,,,,31.000,,,,,,,,,Sousa et al. 9673,MEXU,,,Adenopodia_oaxacana-Caccavari-2002-10Âµm
Anadenanthera colubrina,Freitas-Cruz - 2018 / Ribeiro - 2018,,,Anadenanthera colubrina,Anadenanthera_colubrina,Anadenanthera,colubrina,,Species,16,circular&elliptical,regular arangement polyad,multiplanar,areolate&rugulate,,32.5,47.500,39.000,32.500,47.500,38.800,,,,2.000,2.000,2.000,1.000,1.000,DM Calmon 221 / LP Queiroz s.n. /  s.col. / Lacerda 262 / Lacerda 268 / Melo 3744,R / R / R / HUEFS / HUEFS / HUEFS,ALCB 75760 (DM Calmon 221) / HUEFS 112288 / HUEFS 112292 / HUEFS 91632,,Anadenanthera_colubrina-Cruz-2018-5Î¼m / Anadenanthera_colubrina-2-Cruz-2018-5Î¼m / Anadenanthera_colubrina-3-Cruz-2018-5Î¼m / Anadenanthera_colubrina_var.cebil-Ribeiro-2018-10Î¼m / Anadenanthera_colubrina_var.cebil-2-Ribeiro-2018-10Î¼m
Anadenanthera colubrina var. cebil,Caccavari - 2002 / Ribeiro - 2018,,,Anadenanthera colubrina var. cebil  / Anadenanthera colubrina,Anadenanthera_colubrina_cebil,Anadenanthera,colubrina,cebil,Variety,12,elliptical&oval,regular arangement polyad,,areolate&verrucate,,30,40.000,35.067,30.000,42.500,37.780,,,,2.000,2.000,2.000,,,Faria 114 / Melo 6563 / Queiroz 7194 / Ricardo s.n. / Rubens 161,RB / HUEFS / HUEFS / HUEFS / RB,RB 212051 / HUEFS 151750 / HUEFS 60904 / HUEFS 35629,"Faria 114, Melo 6563, Queiroz 7194 and Ricardo s.n. = Anadenanthera colubrina var. cebil",Anadenanthera_colubrina_var.colubrina-Ribeiro-2018-10Î¼m / Anadenanthera_colubrina_var.colubrina-2-Ribeiro-2018-10Î¼m / Anadenanthera_colubrina_var.colubrina-3-Ribeiro-2018-10Î¼m / Anadenanthera_colubrina_var. cebil-Caccavari-2002-10Âµm / Anadenanthera_colubrina_var. cebil-2-Caccavari-2002-10Âµm / Anadenanthera_colubrina_var. cebil-3-Caccavari-2002-10Âµm / Anadenanthera_colubrina_var. cebil-4-Caccavari-2002-10Âµm
Anadenanthera colubrina var. colubrina,Buril - 2010,,,Anadenanthera colubrina var. colubrina,Anadenanthera_colubrina_colubrina,Anadenanthera,colubrina,colubrina,Variety,16,,,,areolate,4&6,30.9,37.500,33.900,33.300,41.200,37.200,,,,2.500,2.500,2.500,1.500,1.000,E. CÃ³rdula 195 / W. Ganev 2666,HUEFS / HUEFS,HUEFS 117740 / HUEFS 16264,,Anadenanthera_colubrina_var. colubrina-Buril-2010-10Î¼m / Anadenanthera_colubrina_var. colubrina-2-Buril-2010-10Î¼m / Anadenanthera_colubrina_var. colubrina-3-Buril-2010-10Î¼m / Anadenanthera_colubrina_var. colubrina-Buril-2010-10Î¼m / Anadenanthera_colubrina_var. colubrina-2-Buril-2010-10Î¼m / Anadenanthera_colubrina_var. colubrina-3-Buril-2010-10Î¼m
Anadenanthera peregrina,Ribeiro - 2018 / Caccavari - 2002,,,Anadenanthera peregrina / Anadenanthera peregrina var. falcata,Anadenanthera_peregrina,Anadenanthera,peregrina,,Species,16,elliptical,regular arangement polyad,,areolate,,22.5,35.000,29.767,20.000,47.500,34.550,,,,1.000,1.000,1.000,,,Colchester 2374 / Kinupp 25794 / Pifano 149 / Oliveira 18,HUEFS / HUEFS / HUEFS / RB,HUEFS 50563 / FUEL 25794 / HUEFS 59150 / RB 226097,Kinupp 25794 and Oliveira 18 = Anadenanthera peregrina var. falcata,Anadenanthera_peregrina-Ribeiro-2018-10Î¼m / Anadenanthera_peregrina-2-Ribeiro-2018-10Î¼m / Anadenanthera_peregrina-3-Ribeiro-2018-10Î¼m
Gwilymia coriaceum,LiauKang/ Guinet & Caccavari - 1992,18,,Stryphnodendron coriaceum / Stryphnodendron piptadenioides,Gwilymia_coriaceum,Gwilymia,coriaceum,,Species,16,elliptical&oval,,,verrucate,,30.8,30.800,30.800,34.100,34.100,34.100,1.800,1.900,1.850,1.000,1.000,1.000,,,"M. A. Silva 1472,  T. S. Filgueiras, J.W.B. Machado, A. L. Brochado / Lima 13302",ESA / RFA,ESA 88712 / RFA 17172,,Stryphnodendron_piptadenioides-1-Guinet & Caccavari-1992-x10000 / Stryphnodendron_piptadenioides-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-5-Guinet & Caccavari-1992-x10600
Gwilymia fissuratum,Caccavari - 2002 / Guinet & Caccavari - 1992,,,Stryphnodendron fissuratum,Gwilymia_fissuratum,Gwilymia,fissuratum,,Species,16,oval,,,,,40.5,,40.500,,58.600,63.300,2.400,,2.400,,,1.800,,,Eiten et al. 8956 / Eiten & Eiten 8956,SP / SP,SP 129687 / SP 129687,,Stryphnodendron_fissuratum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_fissuratum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_fissuratum-3-Guinet & Caccavari-1992-x16000 / Stryphnodendron_fissuratum-4-Guinet & Caccavari-1992-x10600
Gwilymia moricolor,Guinet & Caccavari - 1992,,,Stryphnodendron moricolor,Gwilymia_moricolor,Gwilymia,moricolor,,Species,16,elliptical&oval,,,areolate&fossulate,,44.5,44.500,44.500,57.600,57.600,57.600,3.200,5.500,4.350,1.500,2.000,1.750,,,Mori & Boom 15236,CAY,,,
Gwilymia occhionianum,Guinet & Caccavari - 1992,,,Stryphnodendron occhionianum,Gwilymia_occhionianum,Gwilymia,occhionianum,,Species,8,elliptical&oval,irregular arangement polyad,,verrucate,,31.1,31.100,31.100,47.900,47.900,47.900,3.200,3.500,3.350,1.400,2.000,1.700,,,Oliveira 997,RB,,,Stryphnodendron_occhionianum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-5-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-6-Guinet & Caccavari-1992-x10000
