"taxon","clade","pollen_data"
"Mimosa_acantholoba_acantholoba","B",NA
"Mimosa_acantholoba_eurycarpa","B",NA
"Mimosa_acapulcensis","X",NA
"Mimosa_accedens","O",NA
"Mimosa_acroconica","O",NA
"Mimosa_aculeaticarpa","B",NA
"Mimosa_acutistipula_acutistipula","D","yes"
"Mimosa_adamantina_adamantina","X",NA
"Mimosa_adenantheroides","B",NA
"Mimosa_adenocarpa","L","yes"
"Mimosa_adenotricha","O","yes"
"Mimosa_adpressa","X",NA
"Mimosa_affinis","P",NA
"Mimosa_aguapeia","Y","yes"
"Mimosa_albida_albida","T",NA
"Mimosa_albolanata","O",NA
"Mimosa_albolanata_brasiliana","O","yes"
"Mimosa_albolanata_paucipinna","O",NA
"Mimosa_amnisatri","N","yes"
"Mimosa_andina","B",NA
"Mimosa_antioquensis","F",NA
"Mimosa_antrorsa","O",NA
"Mimosa_apodocarpa","N","yes"
"Mimosa_arenosa_arenosa","D","yes"
"Mimosa_arenosa_leiocarpa","D",NA
"Mimosa_aspera","B",NA
"Mimosa_atlantica","X",NA
"Mimosa_auriculata","M",NA
"Mimosa_aurivillus","X",NA
"Mimosa_aurivillus_aurivillus","X","yes"
"Mimosa_aurivillus_calothamnos","X",NA
"Mimosa_aurivillus_sordescens","X",NA
"Mimosa_bahamensis","B",NA
"Mimosa_barretoi","X",NA
"Mimosa_bathyrrhena","X",NA
"Mimosa_benthamii","B",NA
"Mimosa_bifurca",NA,NA
"Mimosa_bimucronata","D","yes"
"Mimosa_bispiculata","O",NA
"Mimosa_biuncifera","B",NA
"Mimosa_blanchetii","I",NA
"Mimosa_boliviana","X",NA
"Mimosa_borealis","B",NA
"Mimosa_brachycarpa","L",NA
"Mimosa_brevipetiolata_hirtula","U",NA
"Mimosa_busseana","D",NA
"Mimosa_caduca","B",NA
"Mimosa_caerulea","X","yes"
"Mimosa_caesalpiniifolia","D","yes"
"Mimosa_calcicola","B","yes"
"Mimosa_caliciadenia","O",NA
"Mimosa_callidryas","X",NA
"Mimosa_callithrix","R",NA
"Mimosa_campicola_planipes","H",NA
"Mimosa_camporum","M",NA
"Mimosa_candollei","G","yes"
"Mimosa_casta","T",NA
"Mimosa_ceratonia_ceratonia","D",NA
"Mimosa_ceratonia_interior","D",NA
"Mimosa_chartostegia","X",NA
"Mimosa_chiliomera","O",NA
"Mimosa_chiquitaniensis","A",NA
"Mimosa_chochisensis","S",NA
"Mimosa_chrysastra","X",NA
"Mimosa_chrysothrix","R",NA
"Mimosa_cisparanensis","M",NA
"Mimosa_claussenii","O",NA
"Mimosa_claussenii_claviceps","O","yes"
"Mimosa_claussenii_megistophylla","O","yes"
"Mimosa_claussenii_microphyllidia","O",NA
"Mimosa_claussenii_prorsiseta","O","yes"
"Mimosa_colombiana","A",NA
"Mimosa_coniflora","X",NA
"Mimosa_cordistipula","I","yes"
"Mimosa_coruscocaesia","N","yes"
"Mimosa_corynadenia","O",NA
"Mimosa_costenya","B",NA
"Mimosa_craspedisetosa","N","yes"
"Mimosa_cruenta","K","yes"
"Mimosa_crumenarioides","H",NA
"Mimosa_cryptothamnos","O",NA
"Mimosa_ctenodes","X",NA
"Mimosa_cuiabensis","H",NA
"Mimosa_cyclophylla","R",NA
"Mimosa_daleoides","X","yes"
"Mimosa_dalyi","N","yes"
"Mimosa_deamii","X",NA
"Mimosa_debilis_debilis","T","yes"
"Mimosa_decorticans","O",NA
"Mimosa_delicatula","D",NA
"Mimosa_densa_alligantina","O",NA
"Mimosa_densa_densa","O",NA
"Mimosa_depauperata","B",NA
"Mimosa_detinens","B",NA
"Mimosa_dicerastes","R",NA
"Mimosa_dichroa","B","yes"
"Mimosa_diminuta","O",NA
"Mimosa_diplotricha_diplotricha","H","yes"
"Mimosa_discobola","R",NA
"Mimosa_distachya_oligacantha","B",NA
"Mimosa_dolens_dolens","X","yes"
"Mimosa_dolens_rigida","X",NA
"Mimosa_dominarum","O",NA
"Mimosa_domingensis","B",NA
"Mimosa_dormiens","J",NA
"Mimosa_dryandroides_extratropica","X",NA
"Mimosa_dutrae","X",NA
"Mimosa_dysocarpa","B",NA
"Mimosa_echinocaula","H",NA
"Mimosa_elliptica","J","yes"
"Mimosa_emoryana","B",NA
"Mimosa_ephedroides","B","yes"
"Mimosa_ervendbergii","B",NA
"Mimosa_eurystegia",NA,NA
"Mimosa_fachinalensis","X",NA
"Mimosa_farinosa","D",NA
"Mimosa_fiebrigii","N","yes"
"Mimosa_filipes","H","yes"
"Mimosa_flagellaris","U",NA
"Mimosa_flocculosa","X",NA
"Mimosa_foliolosa_brevibractea","O","yes"
"Mimosa_foliolosa_foederalis","O",NA
"Mimosa_foliolosa_foliolosa","O",NA
"Mimosa_foliolosa_franciscana","O","yes"
"Mimosa_foliolosa_grandibractea","O",NA
"Mimosa_foliolosa_gravida","O",NA
"Mimosa_foliolosa_multipinna","O","yes"
"Mimosa_foliolosa_pachycarpa","O","yes"
"Mimosa_foliolosa_paranani","O","yes"
"Mimosa_foliolosa_peregrina","O",NA
"Mimosa_foliolosa_pubescens","O","yes"
"Mimosa_foliolosa_vernicosa","O","yes"
"Mimosa_furfuracea","X",NA
"Mimosa_galeottii","B",NA
"Mimosa_gatesiae","H",NA
"Mimosa_gemmulata","N","yes"
"Mimosa_glutinosa","N","yes"
"Mimosa_goldmanii","X",NA
"Mimosa_gracilis_invisiformis","H",NA
"Mimosa_gracilis_stipitata","H",NA
"Mimosa_grahamii","B",NA
"Mimosa_grandidieri","D",NA
"Mimosa_granitica","O",NA
"Mimosa_guaranitica","I",NA
"Mimosa_guatemalensis","B",NA
"Mimosa_guilandinae","A",NA
"Mimosa_gymnas","X",NA
"Mimosa_hafomantsina","D",NA
"Mimosa_hamata","D",NA
"Mimosa_hapaloclada","D","yes"
"Mimosa_hatschbachii","K",NA
"Mimosa_hebecarpa","N","yes"
"Mimosa_heringeri","O",NA
"Mimosa_hexandra","B","yes"
"Mimosa_hirsutissima_barbigera","R",NA
"Mimosa_hirsutissima_grossa","R",NA
"Mimosa_hondurana","B",NA
"Mimosa_honesta","Q","yes"
"Mimosa_humivagans","O",NA
"Mimosa_hypoglauca_hypoglauca","R",NA
"Mimosa_incana","X",NA
"Mimosa_incarum","X",NA
"Mimosa_insignis","N","yes"
"Mimosa_interrupta","N","yes"
"Mimosa_invisa","F","yes"
"Mimosa_involucrata","X",NA
"Mimosa_irrigua","A","yes"
"Mimosa_jacobita","S",NA
"Mimosa_jaenensis","B",NA
"Mimosa_josephina","M",NA
"Mimosa_kalunga","O",NA
"Mimosa_kuhnisteroides","X",NA
"Mimosa_lacerata","B",NA
"Mimosa_lactiflua","X",NA
"Mimosa_lamolina","X",NA
"Mimosa_laniceps","O","yes"
"Mimosa_lanuginosa_lanuginosa","R",NA
"Mimosa_laticifera","D","yes"
"Mimosa_latispinosa","D",NA
"Mimosa_leiocephala","O",NA
"Mimosa_lepidophora","A","yes"
"Mimosa_lepidorepens","X",NA
"Mimosa_lepidota","K",NA
"Mimosa_leprosa_parviceps","X",NA
"Mimosa_leptantha","I",NA
"Mimosa_leptocarpa","B",NA
"Mimosa_leucaenoides","B",NA
"Mimosa_levenensis","D",NA
"Mimosa_lewisii","N","yes"
"Mimosa_lithoreas","O",NA
"Mimosa_longepedunculata","O",NA
"Mimosa_loxensis","X",NA
"Mimosa_luisana","B",NA
"Mimosa_macedoana","X",NA
"Mimosa_maguirei","O","yes"
"Mimosa_malacophylla","B",NA
"Mimosa_manidea","O","yes"
"Mimosa_martindelcampoi","B",NA
"Mimosa_melanocarpa","O",NA
"Mimosa_menabeensis","D",NA
"Mimosa_mensicola","D","yes"
"Mimosa_micropteris","X",NA
"Mimosa_minarum","I",NA
"Mimosa_minutifolia","B",NA
"Mimosa_misera","I","yes"
"Mimosa_modesta","Q","yes"
"Mimosa_mollis","B",NA
"Mimosa_monancistra","B",NA
"Mimosa_montana_montana","B",NA
"Mimosa_montana_sandemanii","B",NA
"Mimosa_morroensis","I","yes"
"Mimosa_mossambicensis","D",NA
"Mimosa_myriadenia","A",NA
"Mimosa_myriocephala","D",NA
"Mimosa_myrioglandulosa","O","yes"
"Mimosa_myriophylla","X",NA
"Mimosa_nanchititlana","B",NA
"Mimosa_neonitens","O",NA
"Mimosa_neptunioides","M",NA
"Mimosa_niederleinii","X",NA
"Mimosa_nitens","O",NA
"Mimosa_nossibiensis","D",NA
"Mimosa_nothacacia","A",NA
"Mimosa_nothopteris","N","yes"
"Mimosa_oblonga","X",NA
"Mimosa_occidentalis","M","yes"
"Mimosa_oedoclada","O","yes"
"Mimosa_oligosperma","O",NA
"Mimosa_onilahensis","D",NA
"Mimosa_ophthalmocentra","D","yes"
"Mimosa_orbignyana","Y",NA
"Mimosa_orthacantha","X",NA
"Mimosa_orthocarpa","M",NA
"Mimosa_pachycarpoides","O",NA
"Mimosa_palmeri","B",NA
"Mimosa_paludosa","O","yes"
"Mimosa_papposa","R","yes"
"Mimosa_parviceps","X",NA
"Mimosa_parvipinna","X",NA
"Mimosa_paucifolia","H",NA
"Mimosa_pectinatipinna","X",NA
"Mimosa_pedersenii","X",NA
"Mimosa_perdusenii","X",NA
"Mimosa_pigra_asperata","J",NA
"Mimosa_pigra_dehiscens","J","yes"
"Mimosa_pilulifera","X",NA
"Mimosa_piresii","Y","yes"
"Mimosa_pithecolobioides","A","yes"
"Mimosa_platycarpa","B",NA
"Mimosa_poculata","L",NA
"Mimosa_polyantha","B",NA
"Mimosa_polycarpa","X",NA
"Mimosa_polycarpa_redundans","X",NA
"Mimosa_polycarpa_subandina","X",NA
"Mimosa_polycephala","R",NA
"Mimosa_polydactyla","P",NA
"Mimosa_polydidyma","H",NA
"Mimosa_prainiana","D",NA
"Mimosa_procurrens","Z",NA
"Mimosa_prorepens","O","yes"
"Mimosa_pseudocallosa","X",NA
"Mimosa_pseudoradula","R",NA
"Mimosa_pseudosepiaria","D","yes"
"Mimosa_psilocarpa","X",NA
"Mimosa_psoralea","D",NA
"Mimosa_pteridifolia","N","yes"
"Mimosa_pudica","P","yes"
"Mimosa_purpusii","B",NA
"Mimosa_pyrenea","R",NA
"Mimosa_quadrivalvis","G",NA
"Mimosa_quadrivalvis_nuttallii","G","yes"
"Mimosa_quadrivalvis_occidentalis","G","yes"
"Mimosa_quitensis","B",NA
"Mimosa_radula","R",NA
"Mimosa_ramboi","X",NA
"Mimosa_ramosissima","X",NA
"Mimosa_ramulosa","X",NA
"Mimosa_rastrera","M",NA
"Mimosa_regina","O",NA
"Mimosa_revoluta","A",NA
"Mimosa_rheiptera","O",NA
"Mimosa_rhodocarpa","B",NA
"Mimosa_rhodostegia","O","yes"
"Mimosa_riedelii","Y",NA
"Mimosa_robusta","G","yes"
"Mimosa_rubicaulis_himalayana","D",NA
"Mimosa_rufescens","A",NA
"Mimosa_rufipila","Z",NA
"Mimosa_rusbyana","X",NA
"Mimosa_sanguinolenta","K",NA
"Mimosa_scabrella","X","yes"
"Mimosa_schleidenii","X",NA
"Mimosa_schomburgkii","N","yes"
"Mimosa_sensitiva","T","yes"
"Mimosa_sericantha","N","yes"
"Mimosa_setosa_setosa","O",NA
"Mimosa_setosa_urbana","O",NA
"Mimosa_setosissima","O","yes"
"Mimosa_setuligera","I","yes"
"Mimosa_sicyocarpa","X",NA
"Mimosa_similis","B",NA
"Mimosa_sinaloensis","G",NA
"Mimosa_skinneri_desmodioides","R",NA
"Mimosa_somnambulans","L",NA
"Mimosa_somnians_lasiocarpa","L",NA
"Mimosa_somnians_lupulina","L",NA
"Mimosa_somnians_somnians","L","yes"
"Mimosa_somnians_velascoensis","L",NA
"Mimosa_sousae","X","yes"
"Mimosa_speciosissima","O",NA
"Mimosa_spirocarpa","B","yes"
"Mimosa_spixiana","N","yes"
"Mimosa_splendida","O",NA
"Mimosa_sprengelii","X",NA
"Mimosa_strigillosa","J",NA
"Mimosa_strobiliflora","K","yes"
"Mimosa_stylosa","O",NA
"Mimosa_suberosa","Y",NA
"Mimosa_taimbensis","X","yes"
"Mimosa_tejupilcana","B",NA
"Mimosa_tenuiflora","N","yes"
"Mimosa_tequilana","T",NA
"Mimosa_texana_filipes","B",NA
"Mimosa_texana_texana","B",NA
"Mimosa_tocantina","O",NA
"Mimosa_torresiae","B",NA
"Mimosa_townsendii","A",NA
"Mimosa_trianae","N","yes"
"Mimosa_tricephala_nelsonii","X",NA
"Mimosa_tricephala_xanti","X",NA
"Mimosa_ulbrichiana","I","yes"
"Mimosa_ulei_grallator","O",NA
"Mimosa_ulei_ulei","O","yes"
"Mimosa_uliginosa","K",NA
"Mimosa_unipinnata","B",NA
"Mimosa_uraguensis","K",NA
"Mimosa_urbica","O",NA
"Mimosa_ursina","Q","yes"
"Mimosa_urticaria","X",NA
"Mimosa_velloziana","T","yes"
"Mimosa_venatorum","R",NA
"Mimosa_verecunda","S",NA
"Mimosa_vernicosa_ciliata","O",NA
"Mimosa_verrucosa","N","yes"
"Mimosa_vestita","R",NA
"Mimosa_vilersii","D",NA
"Mimosa_viperina","O",NA
"Mimosa_virgula","R",NA
"Mimosa_volubilis","D",NA
"Mimosa_waterlotii","D",NA
"Mimosa_watsonii","A","yes"
"Mimosa_weberbaueri","B",NA
"Mimosa_weddelliana","J",NA
"Mimosa_woodii","X",NA
"Mimosa_xanthocentra_subsericea","S",NA
"Mimosa_xanthocentra_tremula","S",NA
"Mimosa_xiquexiquensis","I","yes"
"Mimosa_zygophylla","B",NA
