"","ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"1","1","Anadenanthera colubrina",1,"167468","Anadenanthera colubrina",1,"species","","",NA,"(Vell.) Brenan","Fabaceae","Anadenanthera","Anadenanthera",1,"colubrina","colubrina",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12264-2","","Y","Accepted","Anadenanthera colubrina","Anadenanthera colubrina","(Vell.) Brenan","167468","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12264-2","","Fabaceae","1","1","wcvp","0",""
"2","2","Microlobius foetidus",1,"184670","Microlobius foetidus",1,"species","","",NA,"(Jacq.) M.Sousa & G.Andrade","Fabaceae","Microlobius","Microlobius",1,"foetidus","foetidus",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1031488-2","","Y","Accepted","Microlobius foetidus","Microlobius foetidus","(Jacq.) M.Sousa & G.Andrade","184670","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1031488-2","","Fabaceae","1","1","wcvp","0",""
"3","3","Mimosa acantholoba acantholoba",0.96021221090168,"1048984","Mimosa acantholoba var. acantholoba",0.96021221090168,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"acantholoba","acantholoba",1,"","",NA,"var.","acantholoba",0.7,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190505-1","","Y","Accepted","Mimosa acantholoba var. acantholoba","Mimosa acantholoba","","1048984","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190505-1","","Fabaceae","1","1","wcvp","0",""
"4","4","Mimosa acantholoba eurycarpa",0.96021221090168,"1232346","Mimosa acantholoba var. eurycarpa",0.96021221090168,"variety","","",NA,"(B.L.Rob.) Barneby","Fabaceae","Mimosa","Mimosa",1,"acantholoba","acantholoba",1,"","",NA,"var.","eurycarpa",0.7,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967249-1","","Y","Accepted","Mimosa acantholoba var. eurycarpa","Mimosa acantholoba","(B.L.Rob.) Barneby","1232346","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967249-1","","Fabaceae","1","1","wcvp","0",""
"5","5","Mimosa acapulcensis",1,"1040191","Mimosa acapulcensis",1,"species","","",NA,"B.L.Rob.","Fabaceae","Mimosa","Mimosa",1,"acapulcensis","acapulcensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161458-2","","Y","Accepted","Mimosa acapulcensis","Mimosa acapulcensis","B.L.Rob.","1040191","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161458-2","","Fabaceae","1","1","wcvp","0",""
"6","6","Mimosa accedens",1,"1232402","Mimosa accedens",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"accedens","accedens",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312903-2","","Y","Accepted","Mimosa accedens","Mimosa accedens","Barneby","1232402","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312903-2","","Fabaceae","1","1","wcvp","0",""
"7","536,521,518,517,510,506,496,495,489,488,487,485,478,473,470,467,463,441,436,432,431,430,427,424,422,412,411,410,409,408,407,404,398,397,396,395,388,387,381,374,373,370,369,364,361,360,354,353,352,351,350,339,338,337,333,329,325,324,309,293,290,288,286,277,276,275,274,272,264,257,255,254,248,247,246,245,243,242,241,239,237,227,226,225,222,221,218,215,214,211,203,200,196,193,185,180,179,175,172,170,163,162,151,149,147,136,123,122,115,108,106,103,102,101,100,91,85,83,82,81,75,74,73,72,61,51,50,47,44,41,36,35,34,33,32,31,30,29,28,27,25,24,22,21,18,17,11,7","x",NA,"","[No match found]",NA,"","","",NA,"","","","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","x","","","","","","","","","","","","","","","","",""
"8","8","Mimosa acroconica",1,"1232401","Mimosa acroconica",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"acroconica","acroconica",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312902-2","","Y","Accepted","Mimosa acroconica","Mimosa acroconica","Barneby","1232401","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312902-2","","Fabaceae","1","1","wcvp","0",""
"9","9","Mimosa aculeaticarpa",1,"167536","Mimosa aculeaticarpa",1,"species","","",NA,"Ortega","Fabaceae","Mimosa","Mimosa",1,"aculeaticarpa","aculeaticarpa",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161462-2","","Y","Accepted","Mimosa aculeaticarpa","Mimosa aculeaticarpa","Ortega","167536","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161462-2","","Fabaceae","1","1","wcvp","0",""
"10","10","Mimosa acutistipula acutistipula",0.96021221090168,"1232348","Mimosa acutistipula var. acutistipula",0.96021221090168,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"acutistipula","acutistipula",1,"","",NA,"var.","acutistipula",0.7,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190453-1","","Y","Accepted","Mimosa acutistipula var. acutistipula","Mimosa acutistipula","","1232348","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190453-1","","Fabaceae","1","1","wcvp","0",""
